Page,Role,Primary audience,CTA / next action,Notes
index.html,Professional proof hub,"Employers, visitors, industry contacts",View proof of work / About,No request form
services.html,Expertise overview,"Employers, technical reviewers",Open expertise page,Services reframed as work areas
rapid-response-troubleshooting.html,Rapid Response Troubleshooting,Employers and professional reviewers,View case studies / About,"Expertise profile, not sales landing page"
supplier-quality-complaint-management.html,Supplier Quality & Complaint Management,Employers and professional reviewers,View case studies / About,"Expertise profile, not sales landing page"
ramp-up-process-stability.html,Ramp-Up & Process Stability,Employers and professional reviewers,View case studies / About,"Expertise profile, not sales landing page"
early-phase-risk-design-for-quality.html,Early-Phase Risk & Design-for-Quality,Employers and professional reviewers,View case studies / About,"Expertise profile, not sales landing page"
qms-audit-regulatory-support.html,"QMS, Audit & Regulatory Support",Employers and professional reviewers,View case studies / About,"Expertise profile, not sales landing page"
knowledge-gap-transition-security.html,Knowledge Gap & Transition Security,Employers and professional reviewers,View case studies / About,"Expertise profile, not sales landing page"
organic-quality-method.html,Method explanation,Technical reviewers,Explore expertise,Explains source-truth philosophy
case-studies.html,Proof of work,"Employers, visitors",Contact / About,Anonymized cases
regions.html,Regional credibility,Regional employers/contacts,About / Contact,No local SEO spam
about.html,Company + founder credibility,"Employers, visitors",Contact,Includes visual proof placeholders
contact.html,Simple professional contact,"Employers, visitors",Email click,No form
